117,108,1,.933
117,132,1,.942
125,108,1,.895
293,312,.5,.827
481,494,1,1
481,525,.5,.999
506,494,.5,.799
506,525,.25,.975
511,509,1.25,.994
511,525,.75,.929
535,509,.5,.952
546,525,2,.998
642,619,.25,1
681,620,.5,.996
720,715,.25,.984
720,734,1,.970
740,715,.5,.601
767,715,1,.999
767,734,.75,.827
809,734,1.25,.998
832,873,.25,.976
833,873,.25,.993
895,882,1.25,.893
895,951,1.5,.998
908,909,.75,.659
908,951,.5,.988
911,950,.25,.908
1002,973,1,.691
1002,1056,.5,.945
1007,973,1.25,.786
1046,989,.75,.848
1046,1056,1,.994
1079,1103,.25,.799
1079,1145,.75,.929
1098,1120,.25,.923
1517,1449,1.5,.981
1925,1977,.25,.980
5425,5445,.25,.995
5455,5445,1.5,1
5455,5446,1,.916
5455,5451,.5,.929
5513,5523,.75,.832
5516,5529,1.5,.641
5917,5926,.5,.791
6120,6137,.5,.974
6120,6148,1,.808
6121,6137,.25,.674
6195,6196,.75,.940
6195,6210,.25,.948
6198,6207,.25,1
6198,6216,2,.919
6198,6219,.25,.997
6199,6207,.25,.861
6199,6210,.25,.896
6199,6216,.25,.689
6199,6219,.5,.611
6288,6321,.5,.802
6288,6324,.25,.794
6290,6294,.25,.836
6290,6321,.5,.729
6292,6321,.25,.810
6428,6427,.5,.842
6498,6521,.25,.948
6602,6591,.25,.996
6752,6765,.25,.671
6764,6757,.5,.993
6847,6861,.25,.901
7187,7201,.75,.855
7242,7247,1,.983
7242,7256,1,.921
7242,7268,1,1
7244,7247,.5,.976
7244,7268,1.5,.989
7450,7472,.25,1
7524,7539,.25,.999
7524,7551,.5,.733
8751,8761,.25,.939
10553,10556,1.25,.841
12033,12031,1.25,.978
12406,12469,1,.983
13210,13199,.25,.860
13210,13212,1,.823
13210,13341,.25,.952
13394,13485,.5,.995
13513,13523,1.25,.686
13534,13623,.5,.955
13557,13623,1.25,.839
13656,13783,1,.891
13656,13787,.25,.988
13658,13783,.25,.958
13658,13787,.25,.990
13707,13695,.25,1
13795,13701,.5,.999





























